_id,_labels,description,feature,name,_start,_end,_type,name
62,:Knowledge,"任何组件上都可以发生鼠标事件，如：鼠标进入组件、退出组件、在组件上方单击鼠标、拖动鼠标等都触发鼠标事件，即导致MouseEvent类自动创建一个事件对象。 
1．使用MouseListener接口可以处理以下5种操作触发的鼠标事件
    在事件源上按下鼠标键、在事件源上释放鼠标键、在事件源上击鼠标键、鼠标进入事件源、鼠标退出事件源。
注册监视器:MouseListener接口作为监视器
     事件源.addMouseListener(MouseListener listener)。 
MouseListener接口中有如下方法：重写方法作为事件源的处理 
   mousePressed(MouseEvent) 负责处理在组件上按下鼠标键触发的鼠标事件
   mouseReleased(MouseEvent) 负责处理在组件上释放鼠标键触发的鼠标事件
   mouseEntered(MouseEvent) 负责处理鼠标进入组件触发的鼠标事件
   mouseExited(MouseEvent) 负责处理鼠标离开组件触发的鼠标事件
   mouseClicked(MouseEvent) 负责处理在组件上单击鼠标键触发的鼠标事件
MouseEvent 中有下列几个重要的方法：
     getX() 获取鼠标指针在事件源坐标系中的x-坐标。
     getY() 获取鼠标指针在事件源坐标系中的y-坐标。
     getModifiers() 获取鼠标的左键或右键。
     getClickCount() 获取鼠标被单击的次数。
     getSource() 获取发生鼠标事件的事件源。
2．使用MouseMotionListener接口可以处理以下两种操作触发的鼠标事件，  在事件源上拖动鼠标、在事件源上移动鼠标。
 事件源注册监视器的方法是
     addMouseMotionListener(MouseMotionListener listener)。 
 MouseMotionListener接口中有如下方法：
     mouseDragged(MouseEvent)  负责处理拖动鼠标触发的鼠标事件。
    mouseMoved(MouseEvent)  负责处理移动鼠标触发的鼠标事件。",key,MouseEvent事件,,,,
63,:Knowledge,"1．焦点事件源 :组件可以触发焦点事件。 
 2．注册监视器:组件可以使用
    addFocusListener(FocusListener listener)
     注册焦点事件监视器。 
 3．FocusListener接口 :
        创建监视器的类必须要实现FocusListener接口，该接口有两个方法：
      public void focusGained(FocusEvent e)
      public void focusLost(FocusEvent e)
        当发生FocusEvent事件时，监视器调用类实现的接口中的相应方法。
 4．组件也可调用
       public boolean requestFocusInWindow()
    方法可以获得输入焦点。 ",key,焦点事件,,,,
64,:Knowledge,"当一个组件处于激活状态时，敲击键盘上一个键就导致这个组件触发键盘事件。
1.某个组件使用addKeyListener方法注册监视器。
2.接口KeyListener中有如下方法：
     public void keyPressed(KeyEvent e),
  public void keyTyped(KeyEvent e),
  public void KeyReleased(KeyEvent e)  
3.相关方法：
   public int getKeyCode()判断哪个键被按下、敲击或释放,返回一个键码值 。      
   getKeyChar()判断哪个键被按下、敲击或释放，返回键上的字符。",key,键盘事件,,,,
65,:Knowledge,"JFrame及子类创建的窗口可以调用
        setDefaultCloseOperation(int operation);
方法设置窗口的关闭方式（如前面各个例子所示）.
但是setDefaultCloseOperation方式可能不能满足程序的需要，比如，用户单击窗口上的关闭图标时，可能程序需要提示用户是否需要保存窗口中的有关数据到磁盘等 .",key,窗口事件,,,,
66,:Knowledge,"匿名类的方便之处是匿名类的外嵌类的成员变量在匿名类中仍然有效，当发生事件时，监视器就比较容易操作事件源所在的外嵌类中的成员.当事件的处理比较简单、系统也不复杂时，使用匿名类做监视器是一个不错的选择。
   让事件源所在的类的实例作为监视器，能让事件的处理比较方便，这是因为，监视器可以方便的操作事件源所在的类中的其他成员。当事件的处理比较简单，系统也不复杂时，让事件源所在的类的实例作为监视器是一个不错的选择。",key,匿名类实例或窗口做监视器,,,,
67,:Knowledge,"1.授权模式
   Java的事件处理是基于授权模式，即事件源调用调用方法将某个对象注册为自己的监视器。
2.接口回调 
   addXXXListener(XXXListener listener)方法中的参数是一个接口，listener可以引用任何实现了该接口的类所创建的对象，当事件源发生事件时，接口listener立刻回调被类实现的接口中的某个方法。
3.方法绑定 
   当事件源触发事件发生后，监视器准确知道去调用哪个方法。
4.保持松耦合 
   当事件源触发事件发生后，系统知道某个方法会被执行，但无须关心到底是哪个对象去调用了这个方法，因为任何实现接口的类的实例(做为监视器)都可以调用这个方法来处理事件。    ",key,事件总结,,,,
68,:Content,"模型-视图-控制器（Model-View-Controller），简称为MVC。
MVC是一种先进的设计结构，其目的是以会话形式提供方便的GUI支持。
MVC是一种通过三个不同部分构造一个软件或组件的理想办法：
模型(model)  用于存储数据的对象。
视图(view)   为模型提供数据显示的对象。
控制器(controller)处理用户的交互操作，对于用户的操作作出响应，让模型和视图进行必要的交互，即通过视图修改、获取模型中的数据；当模型中的数据变化时，让视图更新显示。",common,使用MVC结构,,,,
69,:Content,"JDialog类和JFrame都是Window的子类，二者的实例都是底层容器。
JDialog类创建的对话框必须要依赖于某个窗口。 
对话框分为无模式和有模式两种。
有模式的对话框：当这个对话框处于激活状态时，只让程序响应对话框内部的事件，而且将堵塞其它线程的执行，用户不能再激活对话框所在程序中的其它窗口，直到该对话框消失不可见。
无模式对话框：当这个对话框处于激活状态时，能再激活其它窗口，也不堵塞其它线程的执行。",common,对话框,,,,
70,:Knowledge,"消息对话框是有模式对话框，进行一个重要的操作动作之前,最好能弹出一个消息对话框。可以用javax.swing包中的JOptionPane类的静态方法:
    public static void showMessageDialog(
                       Component parentComponent,
                       String message,
                       String title,
                       int messageType)
    创建一个消息对话框。",common,消息对话框,,,,
71,:Knowledge," 输入对话框含有供用户输入文本的文本框、一个确认和取消按钮，是有模式对话框 。
     可以用javax.swing包中的JOptionPane类的静态方法：
  public static 
         String showInputDialog(Component parentComponent,
                                      Object message,
                                      String title,
                                      int messageType)
  创建一个输入对话框。",common,输入对话框,,,,
72,:Knowledge,"确认对话框是有模式对话框。
可以用javax.swing包中的JOptionPane类的静态方法:
public static int showConfirmDialog(Component parentComponent,
                                    Object message,
                                    String title,
                                    int optionType)
得到一个确认对话框。",common,确认对话框,,,,
73,:Knowledge,"可以用javax.swing包中的JColorChooser类的静态方法: public static Color showDialog（Component component,        
                                        String title,
                                        Color initialColor）
创建一个有模式的颜色对话框。",common,颜色对话框,,,,
74,:Knowledge,"创建对话框与创建窗口类似，通过建立JDialog的子类来建立一个对话框类，然后这个类的一个实例，即这个子类创建的一个对象，就是一个对话框。对话框是一个容器，它的默认布局是BorderLayout，对话框可以添加组件，实现与用户的交互操作。 

构造对话框的2个常用构造方法
JDialog() 构造一个无标题的初始不可见的对话框，对话框依赖一个默认的不可见的窗口，该窗口由Java运行环境提供。
JDialog(JFrame owner) 构造一个无标题的初始不可见的无模式的对话框，owner是对话框所依赖的窗口，如果owner取null，对话框依赖一个默认的不可见的窗口，该窗口由Java运行环境提供。",common,自定义对话框,,,,
75,:Content,,common,树组件与表格组件,,,,
76,:Knowledge,"1．DefaultMutableTreeNode节点
DefaultMutableTreeNode类的两个常用的构造方法是：
DefaultMutableTreeNode(Object userObject)
DefaultMutableTreeNode(Object userObject,boolean allowChildren)
2．树上的TreeSelectionEvent事件 
addTreeSelectionListener(TreeSelectionListener listener)
方法获得一个监视器。",common,树组件,,,,
77,:Knowledge,"表格组件以行和列的形式显示数据，允许对表格中的数据进行编辑。表格的模型功能强大、灵活并易于执行。表格是最复杂的组件，对于初学者，这里只介绍默认的表格模型。
 JTable有7个构造方法，这里介绍常用的三个。
     JTable() 创建默认的表格模型。
     JTable(int a,int b) 创建a行,b列的默认模型表格
     JTable (Object data[][],Object  columnName[]) 创建默认表格模型对象，并且显示由data指定的二维数组的值，其列名由数组columnName指定。
 通过对表格中的数据进行编辑，可以修改表格中二维数组data中对应的数据数据。在表格中输入或修改数据后，需按回车或用鼠标单击表格的单元格确定所输入或修改的结果。当表格需要刷新显示时，让表格调用repaint方法。",common,表格组件,,,,
78,:Content,"按钮帮定到键盘的步骤如下:
(1) 获取输入映射.   按钮首先调用
   public final InputMap getInputMap(int condition)  
   方法返回一个InputMap对象.
(2)绑定按钮的键盘操作.   步骤（1）返回的输入映射首先调用方法
   public void put(KeyStroke keyStroke,Object actionMapKey)
  将敲击键盘上的某键指定为按钮的键盘操作.
(3)为按钮的键盘操作指定监视器.    按钮调用方法
    public final ActionMap getActionMap()
    返回一个ActionMap对象：
    ActionMap actionmap = button.getActionMap();
    然后，该对象actionmap调用方法：
    public void put(Object key,Action action) 
    为按钮的键盘操作指定监视器",common,按钮绑定到键盘,,,,
79,:Content,"步骤如下：
1.获取ToolKit对象
       让组件调用getToolkit()方法返回系统提供的Toolkit对象。
2.获得PrintJob对象
       Toolkit对象调用getPrintJob()方法返回一个PrintJob对象。
3.获取Graphics对象
       PrintJob对象使用getGraphics()方法获得一个Graphics对象。
4.打印组件
      步骤3获取的Graphics对象是g，组件调用
 paintAll(g)
 将打印出该组件及其子组件。如果调用方法：
 pain(g)
 将打印出该组件本身，但不打印子组件。",common,打印组件,,,,
80,:Content,"可以使用jar.exe把一些文件压缩成一个JAR文件，来发布我们的应用程序。
生成一个Jar文件的步骤如下：
 1．首先用文本编辑器（比如Windows下的记事本）编写一个清单文件 ，扩展名为.mf，如Mymoon.mf 。 
 2．生成JAR文件 
如果目录test下的字节码文件刚好是应用程序需要的全部字节码文件，也可以如下生成JAR文件：
 D:\test\jar cfm Tom.jar Mymoon.mf  *.class 
可以将Tom.jar文件复制到任何一个安装了java运行环境的计算机上，只要用鼠标双击该文件就可以运行该java应用程序了。 ",common,发布GUI程序,,,,
171,:Chapter,,,类和对象,,,,
,,,,,2,1,Content_Of,知识点9.1
,,,,,19,1,Content_Of,知识点9.2
,,,,,20,19,Knowledge_Of,知识点9.2.1
,,,,,52,19,Knowledge_Of,知识点9.2.2
,,,,,171,0,ChapterOf,第四章
,,,,,7,6,Knowledge_Of,知识点4.1.1
,,,,,8,6,Knowledge_Of,知识点4.1.2
,,,,,9,6,Knowledge_Of,知识点4.1.3
,,,,,53,1,Content_Of,知识点9.3
,,,,,54,53,Knowledge_Of,知识点9.3.1
,,,,,55,53,Knowledge_Of,知识点9.3.2
,,,,,4,3,Knowledge_Of,知识点4.2.1
,,,,,12,3,Knowledge_Of,知识点4.2.4
,,,,,15,5,Knowledge_Of,知识点4.3.1
,,,,,16,5,Knowledge_Of,知识点4.3.2
,,,,,18,5,Knowledge_Of,知识点4.3.4
,,,,,14,3,Knowledge_Of,知识点4.2.6
,,,,,13,3,Knowledge_Of,知识点4.2.5
,,,,,11,3,Knowledge_Of,知识点4.2.3
,,,,,10,3,Knowledge_Of,知识点4.2.2
,,,,,17,5,Knowledge_Of,知识点4.3.3
,,,,,56,53,Knowledge_Of,知识点9.3.1
,,,,,57,1,Content_Of,知识点9.4
,,,,,23,22,Knowledge_Of,知识点4.5.1
,,,,,24,22,Knowledge_Of,知识点4.5.2
,,,,,25,22,Knowledge_Of,知识点4.5.3
,,,,,58,57,Knowledge_Of,知识点9.4.1
,,,,,27,26,Knowledge_Of,知识点4.6.1
,,,,,28,26,Knowledge_Of,知识点4.6.2
,,,,,59,57,Knowledge_Of,知识点9.4.2
,,,,,60,57,Knowledge_Of,知识点9.4.3
,,,,,61,57,Knowledge_Of,知识点9.4.4
,,,,,33,32,Knowledge_Of,知识点4.10.1
,,,,,34,32,Knowledge_Of,知识点4.10.2
,,,,,35,32,Knowledge_Of,知识点4.10.3
,,,,,62,57,Knowledge_Of,知识点9.4.5
,,,,,37,36,Knowledge_Of,知识点4.11.2
,,,,,63,57,Knowledge_Of,知识点9.4.6
,,,,,39,38,Knowledge_Of,知识点4.12.1
,,,,,40,38,Knowledge_Of,知识点4.12.2
,,,,,41,38,Knowledge_Of,知识点4.12.3
,,,,,43,38,Knowledge_Of,知识点4.12.5
,,,,,42,38,Knowledge_Of,知识点4.12.4
,,,,,64,57,Knowledge_Of,知识点9.4.7
,,,,,45,44,Knowledge_Of,知识点4.13.1
,,,,,46,44,Knowledge_Of,知识点4.13.2
,,,,,47,44,Knowledge_Of,知识点4.13.3
,,,,,65,57,Knowledge_Of,知识点9.4.8
,,,,,66,57,Knowledge_Of,知识点9.4.9
,,,,,67,57,Knowledge_Of,知识点9.4.10
,,,,,68,1,Content_Of,知识点9.5
,,,,,69,1,Content_Of,知识点9.6
,,,,,70,69,Knowledge_Of,知识点9.5.1
,,,,,71,69,Knowledge_Of,知识点9.5.2
,,,,,72,69,Knowledge_Of,知识点9.5.3
,,,,,73,69,Knowledge_Of,知识点9.5.4
,,,,,74,69,Knowledge_Of,知识点9.6.5
,,,,,75,1,Content_Of,知识点9.7
,,,,,76,75,Knowledge_Of,知识点9.7.1
,,,,,77,75,Knowledge_Of,知识点9.7.2
,,,,,78,1,Content_Of,知识点9.8
,,,,,79,1,Content_Of,知识点9.9
,,,,,80,1,Content_Of,知识点9.10
,,,,,1,0,ChapterOf,第九章
,,,,,3,171,Content_Of,知识点4.2
,,,,,5,171,Content_Of,知识点4.3
,,,,,6,171,Content_Of,知识点4.1
,,,,,21,171,Content_Of,知识点4.4
,,,,,22,171,Content_Of,知识点4.5
,,,,,26,171,Content_Of,知识点4.6
,,,,,29,171,Content_Of,知识点4.7
,,,,,30,171,Content_Of,知识点4.8
,,,,,31,171,Content_Of,知识点4.9
,,,,,32,171,Content_Of,知识点4.10
,,,,,36,171,Content_Of,知识点4.11
,,,,,38,171,Content_Of,知识点4.12
,,,,,44,171,Content_Of,知识点4.13
,,,,,48,171,Content_Of,知识点4.14
,,,,,49,171,Content_Of,知识点4.15
,,,,,50,171,Content_Of,知识点4.16
,,,,,51,171,Content_Of,知识点4.17
